"jobTitle","company","location","link","jobDescription"
"Data Scientist (Product)- Mumbai (1+ Years of Experience)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-product-mumbai-1-years-of-experience/","algorithms, c++, datavisualization, google analytics, java, python, r, sas, sql"
"Data Scientist- Hyderabad/ Bangalore (3-5 Years of Experience)","Analytics Vidhya "," Bengaluru, Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-hyderabad-bangalore-3-5-years-of-experience/","hadoop, machine learning, mapreduce, nlp, nosql, predictive modeling, python, r, ruby, sas, statistical modeling"
"Data Scientist- Bengaluru- (2-5 Years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bengaluru-2-5-years-of-experience/","forecasting, hadoop, k-means, linear regression, logistic regression, machine learning, r, random forest, recommendation engine, statistical modeling"
"Data Scientist -( IIT/ISI)- Mumbai (1-4 Years Of Experience)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-iitisi-mumbai-1-4-years-of-experience/","c++, matlab, predictive modeling, python, r, statistical modeling"
"Data Scientist (Python Expert ) -Hyderabad- (2-4 Years Of Experience)","Analytics Vidhya "," Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-python-expert-hyderabad-2-4-years-of-experience/","numpy + scipy, predictive modeling, problem solving, python, scikit learn, statistics"
"Data Scientist- Kolkata (5-8 Years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-kolkata-5-8-years-of-experience/","bfsi, clustering, deep learning, forecasting, hadoop, logistic regression, machine learning, nlp, No SQL, python, r, regression, statistical modeling, time series"
"Assistant Manager - Data Scientist (Technology COE)- Hyderabad (5+ Years Of Experience)","Analytics Vidhya "," Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/assistant-manager-data-scientist-technology-coe-hyderabad-5-years-of-experience/","algorithms, etl, Linear algebra, machine learning, r, statistical modeling, text mining"
"Data Scientist - Python/Big Data (6-11 yrs)","Analytics Vidhya "," Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-pythonbig-data-6-11-yrs/","machine learning, matlab, predictive model, python, r, sas, sql, statistical modeling, supervised learning"
"Senior Data Scientist- Bangalore (4-5 Years Of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/senior-data-scientist-bangalore-4-5-years-of-experience/","analytics, python, r"
"Data Scientist- Noida (1-3 Years Of Experience)","Analytics Vidhya "," Noida ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-noida-1-3-years-of-experience/","analytics, clustering, forecasting, linear regression, logistic regression, modeling, neural network, python, r, random forest, sas, sql, statistics, time series"
"Junior/ Senior Data Scientist- Bangalore (3-5 Years Experience)","Cloud Byte "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/junior-senior-data-scientist-bangalore-3-5-years-experience/","aws, hadoop, hive, pig, python, sql, statistical modeling, statistics"
"Senior and Chief Data Scientist- Bangalore (5-15 Years of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/senior-and-chief-data-scientist-bangalore-5-15-years-of-experience/","bigdata, data mining, decision trees, etl, forecasting, hadoop, hbase, hive, java, linear regression, logistic regression, machine learning, mapreduce, nlp, nosql, pig, predictive modeling, python, r, RDBMS, regression, sas, spss, teradata, text mining, t"
"Data Scientist- kolkata (2-4 years Of Experience)","Analytics Vidhya "," Kolkata ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-kolkata-2-4-years-of-experience/","analytics, apache spark, business analysis, business analytics, nosql, python, r, sql, statistical techniques"
"Jr Data Analyst/ Data Scientist","Tripod Software Solutions Pvt Ltd "," Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/jr-data-analyst-data-scientist/","Apache Cassandra, apache spark, Data analytics, data science, nosql, RDBMS"
"General Manager - Data Scientist - Mumbai (5-10 years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/general-manager-data-scientist-mumbai-5-10-years-of-experience/","algorithms, analytics, bigdata, data science, hadoop, machine learning, mathematics, modeling, nosql, python, qlikview, r, sas, spark, sql, statistical modeling, statistics, tableau, transformations"
"Senior and Chief Data Scientist- Bangalore (5-15 Years of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/senior-and-chief-data-scientist-bangalore-5-15-years-of-experience/","bigdata, data mining, decision trees, etl, forecasting, hadoop, hbase, hive, java, linear regression, logistic regression, machine learning, mapreduce, nlp, nosql, pig, predictive modeling, python, r, RDBMS, regression, sas, spss, teradata, text mining, t"
"Data Scientist- Mumbai (2-4 years of experience)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-mumbai-2-4-years-of-experience/","java, python, r"
"Data Scientist - Gurgaon ( 2 - 5 years of Experience)","Analytics Vidhya "," Delhi, Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-gurgaon-2-5-years-of-experience/","hive, matlab, naive bayes, numpy + scipy, pig, sql, Weka"
"Data Scientist - Ahmedabad (4-9 years Of Experience)","Analytics Vidhya "," Ahmedabad ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-ahmedabad-4-9-years-of-experience/","bigdata, hadoop, java, machine learning, matlab, nlp, python, qlikview, r, sas, sql, tableau, VBA"
"Data Scientist – Marketing – Bangalore (4-9+ years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-marketing-bangalore-4-9-years-of-experience/","clustering, marketing analytics, modeling, r, sas, segmentation, testing"
"Data Scientist - Chennai (3 - 5 years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-chennai-3-5-years-of-experience/","algorithms, analytics, data extraction, data manipulation, data science, machine learning, predictive model, python, r, structured thinking, visualization"
"Data Scientist (Python Expert ) -Hyderabad- (2-4 Years Of Experience)","Analytics Vidhya "," Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-python-expert-hyderabad-2-4-years-of-experience/","numpy + scipy, predictive modeling, problem solving, python, scikit learn, statistics"
"Data Scientist- Bangalore (2+ years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-2-years-of-experience-3/","data mining, hadoop, hbase, machine learning, predictive modeling, python, r, spark, statistical modeling, text mining"
"Data Scientist - Ahmedabad (4-9 years Of Experience)","Analytics Vidhya "," Ahmedabad ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-ahmedabad-4-9-years-of-experience/","bigdata, hadoop, java, machine learning, matlab, nlp, python, qlikview, r, sas, sql, tableau, VBA"
"Data Scientist- Kolkata (5-8 Years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-kolkata-5-8-years-of-experience/","bfsi, clustering, deep learning, forecasting, hadoop, logistic regression, machine learning, nlp, No SQL, python, r, regression, statistical modeling, time series"
"Data Scientist- Mumbai (2-4 years of experience)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-mumbai-2-4-years-of-experience/","java, python, r"
"Data Scientist- Bangalore (3+ years of experience)","Playment "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-3-years-of-experience/","Computer Vision, deep learning, machine learning, python, r, statistical techniques, tensor flow"
"Data Scientist- Noida (1-5 Years of Experience )","Analytics Vidhya "," Noida ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-noida-1-5-years-of-experience/","analytics, python, r"
